customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity,TechSupport
0458-EOJXD,Female,0,Yes,No,22,Month-to-month,No,Credit card (automatic),85.53,1847.17,Yes,No,Yes
2839-BKCOZ,Female,0,Yes,No,56,Month-to-month,Yes,Electronic check,24.3,1289.24,No,Yes,Yes
3624-OGRNX,Female,0,Yes,No,55,Month-to-month,No,Mailed check,97.47,5255.62,No,Yes,Yes
2910-RTMBZ,Male,0,No,No,32,Month-to-month,No,Bank transfer (automatic),23.04,767.62,Yes,No,No
1882-WMXXU,Female,0,Yes,No,18,Month-to-month,No,Credit card (automatic),74.76,1308.03,No,No,No
2593-KRBGE,Male,0,No,Yes,43,Two year,Yes,Credit card (automatic),85.28,3618.3,No,No,No
4464-EBNTY,Male,0,Yes,Yes,15,Month-to-month,Yes,Bank transfer (automatic),32.22,452.63,Yes,Yes,No
8384-HCLOH,Male,0,Yes,Yes,4,One year,Yes,Mailed check,104.67,366.4,No,Yes,Yes
1909-KUCOT,Male,0,Yes,No,25,Month-to-month,No,Mailed check,89.63,2282.03,Yes,Yes,No
4341-FGAXB,Female,0,No,No,64,Month-to-month,No,Electronic check,47.96,2931.29,No,No,No
9065-BYTWL,Female,0,No,No,41,Two year,Yes,Bank transfer (automatic),91.03,3798.43,No,No,No
2116-VFAJD,Female,0,No,No,11,Two year,Yes,Credit card (automatic),58.29,604.34,No,No,No
2264-OKZMB,Male,0,Yes,Yes,50,One year,No,Electronic check,24.06,1139.11,No,Yes,Yes
1791-LWOAN,Male,1,No,No,12,Month-to-month,No,Bank transfer (automatic),51.18,564.06,No,Yes,Yes
2291-VTPIC,Female,0,No,No,34,Two year,Yes,Bank transfer (automatic),45.77,1607.3,No,Yes,Yes
6911-MWAUC,Male,0,No,No,57,One year,Yes,Electronic check,56.4,3202.89,No,Yes,Yes
0149-RBDLC,Male,1,Yes,No,60,Month-to-month,No,Mailed check,54.13,3301.74,Yes,No,Yes
6398-VGLRC,Female,0,Yes,No,49,Month-to-month,Yes,Credit card (automatic),69.58,3466.78,No,No,No
0347-VBBYH,Male,0,No,Yes,52,One year,No,Bank transfer (automatic),47.66,2509.43,No,Yes,No
1776-TWWGK,Female,1,No,Yes,63,Two year,Yes,Electronic check,34.43,2168.76,No,No,No
9368-WPJRA,Male,0,Yes,No,14,Month-to-month,No,Credit card (automatic),69.29,917.19,No,Yes,No
3760-SPLCP,Female,0,No,No,32,One year,No,Bank transfer (automatic),110.42,3447.2,No,Yes,No
7160-FJUHX,Female,0,No,No,3,Two year,Yes,Bank transfer (automatic),35.31,105.42,No,No,Yes
9107-TXRUJ,Female,0,No,No,51,One year,Yes,Bank transfer (automatic),55.93,2862.29,Yes,No,No
1962-XBBGD,Male,0,No,Yes,17,Two year,No,Credit card (automatic),21.16,373.59,No,No,No
4655-DNZIU,Male,0,No,No,56,Month-to-month,No,Electronic check,37.0,2116.95,Yes,No,Yes
6764-GCCCT,Male,0,No,No,51,Two year,Yes,Credit card (automatic),65.91,3334.48,No,Yes,Yes
8883-RVDAF,Male,0,Yes,No,65,Month-to-month,No,Mailed check,59.74,3897.87,No,No,No
9818-EGEWV,Female,0,No,No,65,Month-to-month,Yes,Credit card (automatic),107.3,6962.1,Yes,No,No
0073-OQOEI,Female,0,Yes,No,63,Month-to-month,Yes,Electronic check,24.97,1649.77,No,No,Yes
5730-DHYLM,Male,1,No,No,15,One year,No,Bank transfer (automatic),65.87,1003.67,No,No,No
4881-ROXBP,Male,0,No,Yes,16,Two year,Yes,Bank transfer (automatic),98.72,1612.45,No,No,No
1584-NJYWC,Female,0,No,No,61,Two year,Yes,Credit card (automatic),71.69,4366.53,No,Yes,Yes
0530-REQCS,Male,0,Yes,No,21,Month-to-month,No,Mailed check,81.21,1661.17,Yes,No,Yes
8786-IERZR,Female,0,No,No,31,One year,Yes,Bank transfer (automatic),90.77,2859.43,No,Yes,No
1018-DSPJK,Male,0,Yes,Yes,32,One year,No,Credit card (automatic),67.8,2205.75,No,No,No
2415-ROZYX,Male,0,Yes,No,16,Month-to-month,Yes,Electronic check,91.36,1414.53,No,No,No
6179-PLRQV,Female,0,Yes,No,12,Month-to-month,Yes,Bank transfer (automatic),23.94,238.21,Yes,No,No
4384-QHOOP,Male,0,Yes,Yes,23,Two year,No,Bank transfer (automatic),61.63,1513.44,No,Yes,Yes
7313-PMJKE,Female,0,Yes,Yes,24,Two year,Yes,Mailed check,25.35,600.95,Yes,No,Yes
1605-ZNSTM,Male,0,No,No,51,One year,No,Credit card (automatic),61.85,3225.05,No,Yes,No
5265-IYQKX,Female,0,No,No,71,One year,No,Electronic check,88.09,6240.43,No,Yes,No
7934-GSVRS,Male,0,No,No,35,Month-to-month,Yes,Mailed check,49.26,1723.54,No,Yes,No
1918-ERTEO,Male,1,Yes,Yes,12,Month-to-month,Yes,Mailed check,53.06,589.97,No,Yes,Yes
2919-NAEJR,Male,0,No,No,10,Month-to-month,Yes,Mailed check,45.3,429.33,No,No,Yes
6248-MIQWS,Male,0,No,No,34,Two year,Yes,Mailed check,53.02,1655.51,No,No,Yes
9400-ZJUZO,Female,0,No,No,41,Month-to-month,No,Bank transfer (automatic),115.15,4715.4,No,Yes,Yes
6578-SRADL,Male,0,Yes,No,35,Two year,No,Bank transfer (automatic),64.58,2263.49,No,No,No
8848-JQDYJ,Male,0,No,No,51,Month-to-month,Yes,Electronic check,72.35,3695.14,No,No,Yes
3020-OZAMK,Female,0,No,No,22,Month-to-month,Yes,Mailed check,117.94,2629.27,Yes,Yes,Yes
7013-IKMKJ,Female,0,Yes,No,60,Month-to-month,Yes,Credit card (automatic),41.47,2418.63,Yes,No,Yes
9126-JEWKQ,Female,0,No,No,0,Month-to-month,No,Credit card (automatic),72.76,0.0,Yes,Yes,No
9944-BBYYK,Female,0,No,No,7,Two year,Yes,Credit card (automatic),97.23,715.21,No,No,Yes
8730-PDLNA,Male,0,No,No,57,Two year,Yes,Bank transfer (automatic),105.49,6075.72,No,No,No
2271-PJNWQ,Male,0,No,No,2,One year,No,Bank transfer (automatic),113.9,255.53,No,No,No
8224-FIUFM,Male,0,No,No,5,Month-to-month,No,Credit card (automatic),51.34,363.04,Yes,Yes,Yes
3649-LXCKM,Male,1,Yes,No,7,Month-to-month,Yes,Electronic check,49.86,407.94,No,Yes,Yes
0883-ONGBS,Female,0,Yes,No,9,Two year,Yes,Bank transfer (automatic),118.39,1036.15,No,No,No
7466-UENXK,Female,0,No,No,44,Month-to-month,Yes,Electronic check,66.87,2971.52,No,No,No
7030-MQDES,Male,0,No,No,18,Month-to-month,Yes,Credit card (automatic),34.66,679.9,No,Yes,No
1974-EGGVH,Male,0,No,No,40,Month-to-month,No,Mailed check,22.12,933.85,No,No,Yes
5089-TPAEI,Male,0,Yes,No,21,One year,No,Credit card (automatic),83.26,1717.14,No,No,Yes
6102-JCXLC,Male,0,Yes,No,18,One year,Yes,Mailed check,68.09,1288.64,No,Yes,Yes
5066-KERET,Female,0,No,No,32,Month-to-month,Yes,Mailed check,46.93,1525.07,No,No,Yes
5796-ILPXD,Male,0,No,Yes,20,Month-to-month,Yes,Credit card (automatic),113.49,2309.3,No,Yes,Yes
2775-ZPYFN,Female,0,No,Yes,11,Two year,Yes,Credit card (automatic),50.06,599.23,No,No,Yes
2813-EASQR,Female,0,No,No,56,One year,Yes,Electronic check,59.49,3365.3,No,No,No
2626-XZCGO,Male,0,Yes,Yes,58,Month-to-month,No,Bank transfer (automatic),28.29,1698.03,No,No,No
2969-ASCNZ,Female,1,Yes,No,32,Two year,Yes,Mailed check,54.02,1737.68,No,Yes,Yes
0454-ITQDI,Female,1,No,No,37,Month-to-month,Yes,Mailed check,63.55,2315.74,Yes,No,No
4743-SMJWG,Female,0,No,No,26,Two year,Yes,Bank transfer (automatic),85.33,2248.52,No,No,Yes
3925-CASJL,Male,0,Yes,No,18,Month-to-month,No,Mailed check,91.59,1658.83,No,No,Yes
3116-FLDUO,Female,0,No,No,9,Month-to-month,Yes,Bank transfer (automatic),28.19,326.73,No,No,Yes
7432-OVZKS,Female,0,No,No,11,Two year,Yes,Credit card (automatic),103.15,1197.19,No,No,No
6099-FPEPL,Female,0,No,No,19,Month-to-month,No,Credit card (automatic),90.4,1701.72,No,No,Yes
7376-IZBAD,Male,0,No,No,61,Two year,Yes,Bank transfer (automatic),112.89,6861.01,No,Yes,Yes
2466-ENEHK,Male,0,No,No,28,Month-to-month,No,Bank transfer (automatic),44.82,1304.23,No,Yes,Yes
4349-SIDGT,Male,1,Yes,No,41,One year,Yes,Bank transfer (automatic),98.86,4052.25,No,Yes,No
9303-ZHTOM,Female,0,No,No,56,One year,Yes,Mailed check,117.5,6580.35,No,Yes,No
0244-CMXQQ,Male,0,No,Yes,43,Month-to-month,No,Credit card (automatic),89.36,3930.3,Yes,Yes,Yes
7911-AYBNM,Male,0,No,Yes,68,One year,Yes,Mailed check,35.48,2421.37,No,No,No
6293-KQFQV,Female,0,Yes,No,6,Two year,Yes,Mailed check,77.66,514.62,No,Yes,No
0686-HWHOK,Female,0,No,No,63,Two year,No,Mailed check,102.91,6420.6,No,No,No
1196-YCLBT,Female,0,No,No,31,Month-to-month,No,Electronic check,56.61,1801.65,No,No,No
3756-KSTRE,Male,0,No,No,11,One year,No,Mailed check,54.78,674.74,No,No,No
1783-KLQFI,Female,0,No,No,30,Month-to-month,Yes,Bank transfer (automatic),90.51,2757.22,No,No,Yes
9572-QJPEM,Female,0,Yes,No,20,One year,Yes,Mailed check,115.09,2259.36,No,Yes,Yes
0167-RKMFI,Male,0,No,No,58,Two year,Yes,Electronic check,71.22,4129.21,No,No,Yes
2281-GDPJT,Male,0,No,No,56,Two year,Yes,Mailed check,27.6,1535.77,No,No,Yes
9095-SXYRG,Female,0,No,No,12,Month-to-month,Yes,Credit card (automatic),51.75,668.39,Yes,No,Yes
8323-OXNIU,Female,1,Yes,No,60,Month-to-month,No,Credit card (automatic),22.76,1351.89,No,Yes,No
9684-IJSPA,Male,0,Yes,No,36,One year,No,Electronic check,25.12,842.73,No,No,No
7679-SAAYB,Female,0,Yes,Yes,69,Month-to-month,Yes,Electronic check,119.06,8156.79,Yes,No,No
0703-EGEGA,Female,0,No,Yes,53,One year,No,Mailed check,101.58,5374.0,No,Yes,No
0231-EYTPR,Female,0,Yes,Yes,17,Two year,Yes,Electronic check,51.39,828.66,No,Yes,Yes
2446-JWWDL,Female,0,Yes,No,25,Month-to-month,Yes,Bank transfer (automatic),63.2,1582.51,Yes,No,No
5812-EWGQC,Female,0,No,No,29,One year,Yes,Bank transfer (automatic),63.99,1828.96,Yes,No,No
2633-WGXAB,Female,1,No,No,39,Month-to-month,No,Electronic check,88.03,3434.71,No,Yes,No
7276-QNGWX,Female,0,No,No,50,Month-to-month,Yes,Electronic check,91.14,4513.64,Yes,No,No
8240-UBCXK,Male,0,Yes,No,43,Month-to-month,No,Credit card (automatic),23.69,1077.6,Yes,Yes,No
5670-ORZSD,Female,0,No,No,63,Month-to-month,Yes,Electronic check,23.79,1502.97,No,No,Yes
9856-PSWBY,Female,0,No,No,52,Month-to-month,Yes,Electronic check,113.63,5954.75,No,No,Yes
4825-GRUMD,Female,0,No,No,9,Month-to-month,No,Electronic check,107.72,967.73,No,Yes,No
4196-NPITX,Female,0,No,No,42,One year,Yes,Electronic check,72.71,3023.98,Yes,No,No
8685-HFFQI,Male,1,No,No,20,One year,Yes,Mailed check,51.5,1075.85,No,No,No
0823-SINXS,Male,0,Yes,Yes,11,Month-to-month,Yes,Mailed check,41.8,518.51,Yes,No,Yes
2857-SCRDX,Male,0,Yes,No,15,One year,No,Electronic check,80.0,1146.23,Yes,Yes,Yes
1649-WHUCP,Female,0,No,No,25,Month-to-month,Yes,Mailed check,117.28,3038.12,No,No,No
8933-RHGZO,Female,0,Yes,Yes,65,Two year,No,Electronic check,51.85,3421.16,No,No,Yes
0537-QGVHR,Male,1,No,Yes,43,Two year,Yes,Electronic check,49.57,2174.78,No,Yes,No
2026-NRDEC,Male,0,No,No,22,Month-to-month,No,Bank transfer (automatic),112.09,2461.84,Yes,No,No
3298-TANAS,Female,0,Yes,No,64,One year,No,Bank transfer (automatic),92.0,5884.78,No,Yes,No
4122-YBXZW,Female,0,Yes,No,52,Month-to-month,Yes,Bank transfer (automatic),28.58,1463.76,No,No,Yes
2838-DZXTV,Male,0,Yes,No,33,Two year,Yes,Mailed check,26.65,867.04,No,No,No
5141-VDDZO,Male,0,No,No,45,Two year,No,Electronic check,76.32,3464.38,No,Yes,No
5550-CMMVZ,Male,0,No,Yes,49,Two year,No,Electronic check,56.36,2798.78,No,No,Yes
8514-MASZG,Female,0,No,Yes,20,One year,Yes,Credit card (automatic),80.24,1576.31,No,No,Yes
8367-ONEXU,Male,1,No,Yes,60,Month-to-month,Yes,Electronic check,27.0,1622.61,Yes,No,No
4416-UXLHD,Female,0,Yes,No,27,One year,No,Mailed check,37.5,910.68,No,No,Yes
1257-WXJSF,Female,0,No,No,39,Month-to-month,No,Electronic check,43.18,1720.43,Yes,No,Yes
4947-TVPTY,Male,0,Yes,No,69,Month-to-month,No,Mailed check,27.52,1880.21,No,No,No
4235-PIQFF,Male,1,No,No,69,Month-to-month,No,Mailed check,106.3,7377.29,No,Yes,No
7685-TEKTT,Female,0,No,No,44,Month-to-month,No,Bank transfer (automatic),65.67,2941.86,No,No,Yes
1132-RARKV,Male,1,No,No,33,Month-to-month,No,Bank transfer (automatic),104.3,3475.33,Yes,Yes,Yes
6859-ZYKZU,Female,0,No,Yes,12,One year,Yes,Mailed check,91.78,1022.73,No,No,No
9963-XBWAK,Female,0,No,No,7,Month-to-month,Yes,Mailed check,30.52,156.3,No,No,Yes
1692-RPGEN,Female,1,Yes,No,70,Two year,Yes,Mailed check,113.87,7961.24,No,No,No
5953-HABBS,Female,0,No,No,53,Month-to-month,Yes,Bank transfer (automatic),39.88,2039.89,Yes,Yes,No
9950-ZZNPN,Male,0,Yes,No,8,Month-to-month,Yes,Credit card (automatic),73.62,591.23,No,No,Yes
1234-QOXFP,Female,0,No,Yes,44,Month-to-month,Yes,Bank transfer (automatic),114.83,5018.72,Yes,Yes,No
9212-QBINA,Male,0,No,No,38,Month-to-month,Yes,Mailed check,34.19,1370.46,No,Yes,No
4833-IOJPT,Female,0,No,No,71,Two year,No,Electronic check,82.25,5919.66,No,No,Yes
1691-ZGNIR,Male,0,No,No,29,Month-to-month,No,Credit card (automatic),91.75,2661.0,No,Yes,No
6477-OOWIM,Male,0,No,No,57,Month-to-month,No,Electronic check,27.56,1559.76,Yes,No,Yes
6843-MWPQX,Female,0,Yes,No,8,Two year,No,Mailed check,98.26,758.71,No,Yes,No
5529-MHDEM,Female,0,Yes,No,57,Month-to-month,No,Electronic check,75.17,4309.4,Yes,Yes,No
1630-UWJLZ,Male,0,Yes,Yes,45,Two year,Yes,Bank transfer (automatic),43.73,1922.14,Yes,No,No
6479-EXGZN,Female,0,No,No,47,Month-to-month,Yes,Mailed check,60.68,2923.79,No,No,Yes
1609-ZUGAS,Female,0,No,No,53,One year,Yes,Mailed check,47.53,2556.03,No,No,No
9431-BLGNV,Female,1,No,No,22,One year,Yes,Bank transfer (automatic),72.59,1568.82,No,Yes,No
6065-ATCEW,Male,0,No,No,37,Two year,No,Credit card (automatic),53.98,1961.18,No,Yes,No
7840-FQAKV,Female,0,Yes,No,38,One year,No,Bank transfer (automatic),102.45,3899.23,No,No,Yes
1580-HBMOL,Female,0,No,No,30,Month-to-month,No,Bank transfer (automatic),53.46,1575.64,No,No,Yes
3047-GPLNJ,Female,0,No,No,44,Month-to-month,No,Bank transfer (automatic),67.07,2926.2,No,No,No
3367-VJCNN,Female,0,No,No,54,One year,Yes,Mailed check,58.31,3112.36,No,No,No
3450-IAKTJ,Male,0,No,No,70,Two year,No,Bank transfer (automatic),27.8,1943.6,No,No,No
4273-VMFMR,Male,0,Yes,No,32,Month-to-month,Yes,Mailed check,93.71,3114.32,Yes,No,Yes
0320-FOOWS,Female,0,No,No,21,Month-to-month,Yes,Mailed check,42.67,924.28,Yes,Yes,No
8741-YBLIK,Female,0,Yes,No,19,Two year,Yes,Electronic check,76.5,1435.1,No,No,No
1129-RCXXB,Male,0,No,No,11,Month-to-month,Yes,Credit card (automatic),58.51,693.44,No,Yes,No
9396-JZIFC,Male,1,Yes,No,1,Month-to-month,Yes,Bank transfer (automatic),65.4,72.54,Yes,No,No
8172-VZBDQ,Female,0,No,No,45,Month-to-month,No,Electronic check,76.15,3456.51,No,Yes,Yes
8071-QQBVL,Male,0,No,No,23,Two year,Yes,Mailed check,70.37,1674.05,No,No,No
2061-IXHJP,Male,1,No,No,46,Two year,Yes,Bank transfer (automatic),74.08,3450.8,No,No,No
4450-LBRGE,Male,0,No,No,14,Two year,No,Bank transfer (automatic),91.26,1326.87,No,Yes,Yes
3116-IZKNV,Female,0,No,Yes,22,Two year,Yes,Electronic check,45.79,1007.38,No,No,No
5853-WTSGT,Male,0,No,Yes,57,Month-to-month,Yes,Credit card (automatic),39.48,2239.92,No,No,No
9618-BQBDF,Female,1,No,No,69,Two year,No,Electronic check,72.53,5081.06,No,Yes,Yes
4092-XBPND,Female,0,Yes,No,27,Two year,No,Electronic check,63.18,1630.2,No,Yes,No
6356-MVXMJ,Male,0,No,Yes,8,Two year,Yes,Mailed check,107.8,885.52,No,No,No
7266-TVJPB,Male,0,No,Yes,43,Month-to-month,Yes,Electronic check,74.53,3112.83,No,Yes,Yes
0895-XMAMP,Male,0,No,No,38,Month-to-month,Yes,Mailed check,81.66,3137.49,No,No,Yes
5673-GGJDK,Female,0,No,No,62,Month-to-month,No,Mailed check,86.63,5297.22,Yes,No,No
0180-TLNYE,Male,1,No,Yes,47,One year,No,Electronic check,102.56,4855.19,No,No,Yes
6383-PWNJI,Male,0,No,No,67,Month-to-month,Yes,Electronic check,79.9,5327.86,Yes,Yes,No
7253-IHTJF,Female,0,No,No,24,Two year,Yes,Mailed check,107.78,2591.2,No,No,No
5509-YVVUU,Male,0,No,No,48,Month-to-month,No,Electronic check,42.81,2026.43,No,No,No
7992-UCQWT,Male,0,Yes,No,24,Two year,No,Electronic check,107.48,2487.22,No,No,Yes
2349-OZDKB,Female,0,Yes,No,68,Month-to-month,Yes,Bank transfer (automatic),47.79,3123.5,No,No,No
0840-QZEDF,Male,0,No,No,72,Month-to-month,No,Bank transfer (automatic),117.14,8318.15,Yes,No,No
2030-AQMCL,Male,1,No,No,10,One year,No,Mailed check,81.37,818.82,No,No,Yes
2320-YPLZF,Female,0,No,Yes,24,Month-to-month,Yes,Electronic check,72.81,1728.22,No,No,Yes
6152-PZHID,Male,0,No,No,15,One year,Yes,Mailed check,31.29,408.79,No,Yes,No
6910-KMQTG,Male,0,No,No,19,Month-to-month,No,Credit card (automatic),98.8,1897.89,No,No,No
4015-JBFTM,Male,0,No,Yes,39,Month-to-month,No,Bank transfer (automatic),108.89,4283.63,No,No,No
5842-VUJMT,Male,0,No,No,7,Month-to-month,Yes,Bank transfer (automatic),28.94,197.73,No,No,No
4276-MMXLP,Female,0,Yes,No,53,Two year,No,Mailed check,91.02,4897.98,No,No,Yes
2853-BPAAR,Male,0,Yes,No,32,One year,No,Bank transfer (automatic),57.19,1828.91,No,No,No
3281-XBUTT,Female,0,Yes,No,10,Two year,Yes,Credit card (automatic),69.76,769.46,No,No,No
6488-YLEBX,Female,0,No,No,3,Month-to-month,No,Mailed check,80.77,171.19,No,No,No
0310-WDIHZ,Male,0,No,No,4,One year,No,Credit card (automatic),32.57,129.01,No,No,No
0267-KPZFC,Male,0,No,No,54,Two year,Yes,Mailed check,102.42,5553.64,No,Yes,No
1220-QBJUV,Male,0,Yes,No,64,Month-to-month,Yes,Electronic check,102.47,6565.84,No,Yes,Yes
8435-PUETK,Female,0,No,No,16,Month-to-month,Yes,Credit card (automatic),76.26,1124.5,No,Yes,Yes
3333-WHGUN,Male,0,No,Yes,20,Month-to-month,Yes,Electronic check,75.28,1550.22,No,No,No
1130-NEIFI,Male,0,Yes,Yes,28,Two year,Yes,Credit card (automatic),21.53,602.29,No,No,No
4278-IUTUG,Male,0,Yes,No,14,One year,No,Bank transfer (automatic),79.05,1013.43,No,No,No
8152-PBTYF,Female,0,No,No,53,Month-to-month,No,Electronic check,83.29,4428.67,Yes,Yes,No
4760-UNSID,Male,0,No,Yes,49,Two year,Yes,Mailed check,99.59,4816.0,No,No,Yes
7503-GSKQJ,Male,0,No,No,11,One year,No,Electronic check,38.0,334.44,No,No,No
4526-DGCMZ,Male,1,Yes,Yes,16,Month-to-month,No,Mailed check,98.26,1550.29,No,No,No
5736-OFXMT,Female,1,Yes,No,59,One year,No,Credit card (automatic),46.52,2831.87,No,Yes,Yes
0699-RFPLA,Male,1,No,Yes,0,Month-to-month,Yes,Mailed check,30.09,0.0,No,No,Yes
4616-ZOISG,Female,0,Yes,No,68,Two year,Yes,Bank transfer (automatic),86.33,5804.93,No,No,No
9619-HYXVI,Female,0,No,No,32,Month-to-month,Yes,Credit card (automatic),104.91,3343.76,No,Yes,Yes
9042-ABCER,Female,0,No,Yes,56,Two year,Yes,Bank transfer (automatic),52.67,2963.38,No,No,Yes
7846-YJIOU,Female,1,No,No,30,Month-to-month,No,Mailed check,51.22,1595.19,No,No,Yes
8618-WUWVD,Male,0,Yes,No,47,One year,Yes,Bank transfer (automatic),48.35,2246.08,No,No,No
8357-ZUNPJ,Female,0,No,Yes,8,One year,No,Electronic check,88.64,638.49,No,No,Yes
7805-IZULZ,Female,0,No,No,53,Month-to-month,Yes,Mailed check,34.21,1813.39,Yes,Yes,No
4063-QFTLU,Female,0,Yes,No,69,One year,Yes,Bank transfer (automatic),105.91,7363.4,No,No,Yes
1586-RUGZA,Female,0,No,No,26,Month-to-month,Yes,Bank transfer (automatic),75.86,1944.82,Yes,No,No
7072-WAQUN,Male,0,No,No,35,One year,Yes,Mailed check,92.82,3236.68,No,Yes,No
4101-FSENQ,Male,0,Yes,Yes,43,One year,No,Credit card (automatic),35.58,1610.73,No,Yes,No
1252-QVWYQ,Female,0,Yes,No,50,Two year,No,Electronic check,112.0,5584.82,No,No,No
0249-TPZTG,Female,0,No,Yes,55,One year,No,Mailed check,82.11,4580.64,No,No,No
1244-OCMJP,Female,0,No,Yes,21,One year,No,Mailed check,61.97,1228.61,No,Yes,Yes
1727-WNWAX,Female,0,No,No,67,Month-to-month,Yes,Bank transfer (automatic),26.32,1782.75,Yes,Yes,No
7821-NUKSJ,Female,1,No,Yes,37,Two year,No,Electronic check,43.65,1644.41,No,No,No
1308-IUDYU,Male,1,No,No,64,Month-to-month,No,Credit card (automatic),106.9,6801.34,Yes,No,No
6797-LALSO,Male,0,Yes,Yes,60,Month-to-month,Yes,Credit card (automatic),45.24,2762.93,No,No,No
4804-LYDKO,Female,0,Yes,No,0,One year,Yes,Mailed check,85.03,0.0,No,No,No
7051-PMONR,Female,0,Yes,Yes,21,One year,Yes,Bank transfer (automatic),118.31,2488.45,Yes,No,Yes
2292-NHODE,Female,0,No,No,15,Two year,No,Bank transfer (automatic),94.33,1447.0,No,Yes,No
2104-YNKQF,Male,0,No,No,69,Month-to-month,Yes,Mailed check,107.16,7335.7,No,No,Yes
5790-AJJSD,Female,0,Yes,No,30,Two year,Yes,Credit card (automatic),112.54,3352.22,No,Yes,No
7710-IYELX,Male,0,Yes,Yes,27,One year,Yes,Bank transfer (automatic),49.14,1322.5,No,Yes,No
9735-ANNYV,Male,0,Yes,Yes,41,Month-to-month,Yes,Electronic check,106.25,4456.77,Yes,No,Yes
3813-VBSIQ,Male,0,No,Yes,38,Month-to-month,Yes,Bank transfer (automatic),75.55,2939.36,No,Yes,No
3750-AOYVC,Female,1,No,No,0,Month-to-month,No,Credit card (automatic),70.69,0.0,No,Yes,No
3905-NDXBF,Female,0,No,Yes,22,Month-to-month,Yes,Bank transfer (automatic),69.27,1498.19,No,No,Yes
7584-RZMBD,Female,0,Yes,No,30,Month-to-month,No,Credit card (automatic),55.6,1743.08,No,No,No
1516-HCZVW,Male,0,Yes,No,0,One year,Yes,Bank transfer (automatic),90.47,0.0,No,No,No
2178-KEMUV,Female,0,Yes,Yes,14,Month-to-month,Yes,Electronic check,81.6,1060.57,No,No,No
0343-JPTIK,Male,0,No,No,19,Month-to-month,Yes,Bank transfer (automatic),79.4,1523.27,No,No,No
5810-YIBUM,Male,1,Yes,Yes,32,One year,Yes,Mailed check,43.08,1376.27,No,No,No
4335-HPXTE,Female,1,No,No,5,One year,No,Electronic check,23.68,142.74,No,No,No
5580-VHKIA,Female,0,No,No,43,Month-to-month,No,Bank transfer (automatic),108.83,4642.2,No,Yes,Yes
2857-LUOPX,Female,0,No,Yes,2,One year,No,Bank transfer (automatic),34.56,42.05,No,No,No
2690-QSYBR,Male,0,Yes,Yes,60,Month-to-month,Yes,Mailed check,23.96,1381.75,Yes,No,Yes
0019-WIDLW,Female,1,No,No,33,Two year,No,Electronic check,103.44,3374.79,No,Yes,No
2433-PBASN,Female,0,Yes,No,11,One year,No,Bank transfer (automatic),91.78,1026.34,No,No,No
